flightNumber,airlineId,aircraftId,aircraftTypeId,originAirportId,destinationAirportId,flightTypeId,flightDate,scheduledDepartureTime,scheduledArrivalTime,scheduledArrivalDate
TK1984,1,1,1,1,2,1,2026-08-15,08:30:00,11:45:00,2026-08-15
TK1985,1,1,1,2,1,1,2026-08-15,13:15:00,16:30:00,2026-08-15
PC2022,2,6,1,3,4,1,2026-08-15,09:10:00,10:20:00,2026-08-15
PC2023,2,6,1,4,3,1,2026-08-15,11:15:00,12:25:00,2026-08-15
XQ7100,3,9,3,5,2,1,2026-08-16,10:00:00,13:50:00,2026-08-16
XQ7101,3,9,3,2,5,1,2026-08-16,15:30:00,19:20:00,2026-08-16
LH1302,4,12,1,2,1,1,2026-08-16,07:45:00,10:55:00,2026-08-16
LH1303,4,12,1,1,2,1,2026-08-16,12:10:00,15:20:00,2026-08-16
TK1988,1,4,4,1,7,1,2026-08-17,16:20:00,20:40:00,2026-08-17
TK1989,1,4,4,7,1,1,2026-08-17,22:00:00,02:20:00,2026-08-18
TK1821,1,3,2,1,8,1,2026-08-18,07:00:00,10:15:00,2026-08-18
TK1822,1,3,2,8,1,1,2026-08-18,11:45:00,15:00:00,2026-08-18
PC2410,2,7,2,3,5,1,2026-08-18,11:30:00,12:45:00,2026-08-18
PC2411,2,7,2,5,3,1,2026-08-18,13:45:00,15:00:00,2026-08-18
LH0990,4,14,4,2,1,2,2026-08-19,03:00:00,08:30:00,2026-08-19
LH0991,4,14,4,1,2,2,2026-08-19,08:00:00,11:30:00,2026-08-19
TK1951,1,5,5,1,9,1,2026-08-19,14:00:00,17:50:00,2026-08-19
TK1952,1,5,5,9,1,1,2026-08-19,19:30:00,23:20:00,2026-08-19
XQ7410,3,10,3,6,2,1,2026-08-20,12:00:00,15:45:00,2026-08-20
XQ7411,3,10,3,2,6,1,2026-08-20,17:15:00,21:00:00,2026-08-20
